epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,0.880953,0.97674,6.83858,0.98017,0,0,0,0,0.69144,4.18317,0.94972,2e-05,2e-05,0.09802
2,1.42504,0.97055,6.89701,0.99261,0,0,0,0,0.3075,4.18348,0.78651,4.9505e-05,4.9505e-05,0.0950495
3,2.34051,0.67048,5.46413,0.82797,0,0,0,0,0.5181,4.28325,0.92946,7.8416e-05,7.8416e-05,0.0920784
4,2.93624,0.67802,4.82135,0.8345,0,0,0,0,1.42208,4.47983,1.80094,0.000106733,0.000106733,0.0891067
5,3.55731,0.60695,4.60416,0.81224,0,0,0,0,2.22677,4.56208,1.64788,0.000134456,0.000134456,0.0861345
6,4.11888,0.643,4.07599,0.82991,0,0,0,0,1.50704,4.74499,1.51979,0.000161585,0.000161585,0.0831616
7,4.72326,0.6081,3.82114,0.82637,0,0,0,0,1.17208,4.73027,1.23155,0.00018812,0.00018812,0.0801881
8,5.64847,0.57341,3.71648,0.83208,0,0,0,0,1.11922,4.65824,1.04105,0.000214061,0.000214061,0.0772141
9,6.91283,0.56518,3.51016,0.8058,0,0,0,0,0.61852,4.69851,0.86011,0.000239408,0.000239408,0.0742394
10,7.64638,0.6224,3.47092,0.85449,0,0,0,0,0.4036,4.69729,0.75605,0.000264161,0.000264161,0.0712642
11,8.5058,0.52833,3.36223,0.84201,0,0,0,0,0.3225,4.69769,0.7182,0.00028832,0.00028832,0.0682883
12,9.5602,0.54264,3.14917,0.81268,0,0,0,0,0.28419,4.69156,0.76234,0.000311885,0.000311885,0.0653119
13,10.4864,0.55483,3.00099,0.83938,0,0,0,0,0.245,4.66128,0.76013,0.000334856,0.000334856,0.0623349
14,11.0511,0.63187,2.91648,0.8288,0,0,0,0,0.26345,4.63022,0.765,0.000357233,0.000357233,0.0593572
15,11.6668,0.58916,2.88498,0.82398,0,0,0,0,0.40151,4.51861,0.78486,0.000379016,0.000379016,0.056379
16,12.366,0.59066,3.02143,0.84367,0,0,0,0,0.33355,4.5158,0.77372,0.000400205,0.000400205,0.0534002
17,12.9797,0.56302,3.08049,0.81742,0,0,0,0,0.40966,4.44746,0.77251,0.0004208,0.0004208,0.0504208
18,13.5686,0.54742,2.77994,0.78972,0,0,0,0,0.37642,4.41048,0.76871,0.000440801,0.000440801,0.0474408
19,14.1602,0.66454,2.91673,0.86571,0,0,0,0,0.31845,4.33099,0.7611,0.000460208,0.000460208,0.0444602
20,14.7789,0.5896,2.70561,0.82685,0.125,0.125,0.12437,0.11194,0.34538,4.25471,0.76246,0.000479021,0.000479021,0.041479
21,15.3837,0.5761,2.68313,0.80584,0.125,0.125,0.12437,0.12437,0.27764,4.21749,0.76086,0.00049724,0.00049724,0.0384972
